0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,3,4,0
0,3,5,0
0,3,6,0
0,4,5,0
0,4,6,0
0,5,6,0
0,1,3,2,0
0,1,4,2,0
0,1,5,2,0
0,1,6,2,0
0,1,3,4,0
0,3,1,5,0
0,3,1,6,0
0,1,4,5,0
0,1,4,6,0
0,1,5,6,0
0,2,4,3,0
0,3,2,5,0
0,3,2,6,0
0,4,2,5,0
0,4,2,6,0
0,2,5,6,0
0,3,4,5,0
0,3,4,6,0
0,3,5,6,0
0,4,6,5,0
0,1,3,4,2,0
0,1,3,2,5,0
0,1,3,2,6,0
0,1,4,2,6,0
0,1,5,6,2,0
0,1,3,4,6,0
0,3,1,5,6,0
0,1,4,6,5,0
0,3,4,2,6,0
0,3,2,5,6,0
0,4,2,5,6,0
0,1,3,4,2,6,0
0,1,3,2,5,6,0
