0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,16,0
0,17,0
0,18,0
0,19,0
0,20,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,1,12,0
0,1,13,0
0,1,14,0
0,1,15,0
0,1,16,0
0,1,17,0
0,1,18,0
0,1,19,0
0,1,20,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,2,11,0
0,2,12,0
0,2,13,0
0,2,14,0
0,2,15,0
0,2,16,0
0,2,17,0
0,2,18,0
0,2,19,0
0,2,20,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,3,8,0
0,3,9,0
0,3,10,0
0,3,11,0
0,3,12,0
0,3,13,0
0,3,14,0
0,3,15,0
0,3,16,0
0,3,17,0
0,3,18,0
0,3,19,0
0,3,20,0
0,4,5,0
0,4,6,0
0,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
0,4,12,0
0,4,13,0
0,4,14,0
0,4,15,0
0,4,16,0
0,4,17,0
0,4,18,0
0,4,19,0
0,4,20,0
0,5,6,0
0,5,7,0
0,5,8,0
0,5,9,0
0,5,10,0
0,5,11,0
0,5,12,0
0,5,13,0
0,5,14,0
0,5,15,0
0,5,16,0
0,5,17,0
0,5,18,0
0,5,19,0
0,5,20,0
0,6,7,0
0,6,8,0
0,6,9,0
0,6,10,0
0,6,11,0
0,6,12,0
0,6,13,0
0,6,14,0
0,6,15,0
0,6,16,0
0,6,17,0
0,6,18,0
0,6,19,0
0,6,20,0
0,7,8,0
0,7,9,0
0,7,10,0
0,7,11,0
0,7,12,0
0,7,13,0
0,7,14,0
0,7,15,0
0,7,16,0
0,7,17,0
0,7,18,0
0,7,19,0
0,7,20,0
0,8,9,0
0,8,10,0
0,8,11,0
0,8,12,0
0,8,13,0
0,8,14,0
0,8,15,0
0,8,16,0
0,8,17,0
0,8,18,0
0,8,19,0
0,8,20,0
0,9,10,0
0,9,11,0
0,9,12,0
0,9,13,0
0,9,14,0
0,9,15,0
0,9,16,0
0,9,17,0
0,9,18,0
0,9,19,0
0,9,20,0
0,10,11,0
0,10,12,0
0,10,13,0
0,10,14,0
0,10,15,0
0,10,16,0
0,10,17,0
0,10,18,0
0,10,19,0
0,10,20,0
0,11,12,0
0,11,13,0
0,11,14,0
0,11,15,0
0,11,16,0
0,11,17,0
0,11,18,0
0,11,19,0
0,11,20,0
0,12,13,0
0,12,14,0
0,12,15,0
0,12,16,0
0,12,17,0
0,12,18,0
0,12,19,0
0,12,20,0
0,13,14,0
0,13,15,0
0,13,16,0
0,13,17,0
0,13,18,0
0,13,19,0
0,13,20,0
0,14,15,0
0,14,16,0
0,14,17,0
0,14,18,0
0,14,19,0
0,14,20,0
0,15,16,0
0,15,17,0
0,15,18,0
0,15,19,0
0,15,20,0
0,16,17,0
0,16,18,0
0,16,19,0
0,16,20,0
0,17,18,0
0,17,19,0
0,17,20,0
0,18,19,0
0,18,20,0
0,19,20,0
0,1,3,2,0
0,1,4,2,0
0,1,5,2,0
0,1,6,2,0
0,1,7,2,0
0,1,8,2,0
0,1,9,2,0
0,2,1,10,0
0,1,11,2,0
0,1,12,2,0
0,1,2,13,0
0,1,2,14,0
0,1,2,15,0
0,1,16,2,0
0,1,17,2,0
0,1,18,2,0
0,1,19,2,0
0,2,1,20,0
0,1,3,4,0
0,3,1,5,0
0,3,1,6,0
0,3,1,7,0
0,3,1,8,0
0,1,9,3,0
0,3,1,10,0
0,3,1,11,0
0,1,3,12,0
0,1,3,13,0
0,1,3,14,0
0,1,3,15,0
0,3,1,16,0
0,3,1,17,0
0,3,1,18,0
0,3,1,19,0
0,1,20,3,0
0,1,4,5,0
0,1,4,6,0
0,4,1,7,0
0,4,1,8,0
0,1,9,4,0
0,4,1,10,0
0,4,1,11,0
0,1,12,4,0
0,1,4,13,0
0,1,4,14,0
0,1,4,15,0
0,1,4,16,0
0,4,1,17,0
0,4,1,18,0
0,4,1,19,0
0,1,20,4,0
0,1,5,6,0
0,1,7,5,0
0,1,8,5,0
0,5,1,9,0
0,1,10,5,0
0,1,11,5,0
0,5,1,12,0
0,1,5,13,0
0,1,5,14,0
0,1,5,15,0
0,1,5,16,0
0,1,17,5,0
0,1,18,5,0
0,1,19,5,0
0,1,20,5,0
0,1,7,6,0
0,1,8,6,0
0,6,1,9,0
0,1,10,6,0
0,1,11,6,0
0,6,1,12,0
0,1,6,13,0
0,1,6,14,0
0,1,6,15,0
0,1,16,6,0
0,1,17,6,0
0,1,18,6,0
0,1,19,6,0
0,1,20,6,0
0,1,7,8,0
0,1,9,7,0
0,1,10,7,0
0,1,11,7,0
0,7,1,12,0
0,1,7,13,0
0,1,7,14,0
0,1,7,15,0
0,1,7,16,0
0,1,7,17,0
0,1,7,18,0
0,1,19,7,0
0,1,20,7,0
0,1,9,8,0
0,1,10,8,0
0,1,11,8,0
0,8,1,12,0
0,1,8,13,0
0,1,8,14,0
0,1,8,15,0
0,1,8,16,0
0,1,8,17,0
0,1,8,18,0
0,1,19,8,0
0,1,20,8,0
0,1,9,10,0
0,1,9,11,0
0,1,9,12,0
0,1,9,13,0
0,9,1,14,0
0,1,9,15,0
0,9,1,16,0
0,9,1,17,0
0,9,1,18,0
0,1,9,19,0
0,1,20,9,0
0,1,10,11,0
0,10,1,12,0
0,1,10,13,0
0,1,10,14,0
0,1,10,15,0
0,1,10,16,0
0,1,10,17,0
0,1,10,18,0
0,1,10,19,0
0,1,20,10,0
0,11,1,12,0
0,1,11,13,0
0,1,11,14,0
0,1,11,15,0
0,1,11,16,0
0,1,11,17,0
0,1,11,18,0
0,1,11,19,0
0,1,20,11,0
0,1,12,13,0
0,1,12,14,0
0,1,12,15,0
0,12,1,16,0
0,12,1,17,0
0,12,1,18,0
0,12,1,19,0
0,1,20,12,0
0,1,14,13,0
0,1,15,13,0
0,1,16,13,0
0,1,17,13,0
0,1,18,13,0
0,1,19,13,0
0,1,20,13,0
0,1,14,15,0
0,1,16,14,0
0,1,17,14,0
0,1,18,14,0
0,1,19,14,0
0,1,20,14,0
0,1,16,15,0
0,1,17,15,0
0,1,18,15,0
0,1,19,15,0
0,15,1,20,0
0,1,17,16,0
0,1,18,16,0
0,1,19,16,0
0,1,20,16,0
0,1,18,17,0
0,1,19,17,0
0,1,20,17,0
0,1,19,18,0
0,1,20,18,0
0,1,20,19,0
0,2,4,3,0
0,3,2,5,0
0,3,2,6,0
0,2,3,7,0
0,3,2,8,0
0,2,3,9,0
0,2,3,10,0
0,2,3,11,0
0,2,12,3,0
0,3,2,13,0
0,3,2,14,0
0,3,2,15,0
0,3,2,16,0
0,3,2,17,0
0,3,2,18,0
0,2,3,19,0
0,2,3,20,0
0,4,2,5,0
0,4,2,6,0
0,4,2,7,0
0,4,2,8,0
0,2,4,9,0
0,2,4,10,0
0,2,4,11,0
0,2,4,12,0
0,4,2,13,0
0,4,2,14,0
0,2,15,4,0
0,4,2,16,0
0,4,2,17,0
0,4,2,18,0
0,4,2,19,0
0,2,4,20,0
0,2,5,6,0
0,2,5,7,0
0,2,5,8,0
0,2,5,9,0
0,2,5,10,0
0,2,5,11,0
0,5,2,12,0
0,2,13,5,0
0,2,14,5,0
0,2,15,5,0
0,2,16,5,0
0,2,17,5,0
0,2,5,18,0
0,2,5,19,0
0,2,5,20,0
0,2,6,7,0
0,2,6,8,0
0,6,2,9,0
0,2,6,10,0
0,2,6,11,0
0,6,2,12,0
0,2,13,6,0
0,2,14,6,0
0,2,15,6,0
0,2,16,6,0
0,2,17,6,0
0,2,6,18,0
0,2,6,19,0
0,2,6,20,0
0,2,8,7,0
0,2,7,9,0
0,2,7,10,0
0,2,7,11,0
0,7,2,12,0
0,2,13,7,0
0,2,14,7,0
0,2,15,7,0
0,2,16,7,0
0,2,17,7,0
0,2,18,7,0
0,2,7,19,0
0,2,7,20,0
0,2,8,9,0
0,2,8,10,0
0,2,8,11,0
0,8,2,12,0
0,2,13,8,0
0,2,14,8,0
0,2,15,8,0
0,2,16,8,0
0,2,17,8,0
0,2,8,18,0
0,2,8,19,0
0,2,8,20,0
0,2,9,10,0
0,2,9,11,0
0,2,12,9,0
0,9,2,13,0
0,9,2,14,0
0,9,2,15,0
0,9,2,16,0
0,2,17,9,0
0,2,18,9,0
0,2,9,19,0
0,2,9,20,0
0,2,11,10,0
0,2,12,10,0
0,2,13,10,0
0,2,14,10,0
0,2,15,10,0
0,2,16,10,0
0,2,17,10,0
0,2,18,10,0
0,2,19,10,0
0,2,20,10,0
