0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,1,12,0
0,1,13,0
0,1,14,0
0,1,15,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,2,11,0
0,2,12,0
0,2,13,0
0,2,14,0
0,2,15,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,3,8,0
0,3,9,0
0,3,10,0
0,3,11,0
0,3,12,0
0,3,13,0
0,3,14,0
0,3,15,0
0,4,5,0
0,4,6,0
0,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
0,4,12,0
0,4,13,0
0,4,14,0
0,4,15,0
0,5,6,0
0,5,7,0
0,5,8,0
0,5,9,0
0,5,10,0
0,5,11,0
0,5,12,0
0,5,13,0
0,5,14,0
0,5,15,0
0,6,7,0
0,6,8,0
0,6,9,0
0,6,10,0
0,6,11,0
0,6,12,0
0,6,13,0
0,6,14,0
0,6,15,0
0,7,8,0
0,7,9,0
0,7,10,0
0,7,11,0
0,7,12,0
0,7,13,0
0,7,14,0
0,7,15,0
0,8,9,0
0,8,10,0
0,8,11,0
0,8,12,0
0,8,13,0
0,8,14,0
0,8,15,0
0,9,10,0
0,9,11,0
0,9,12,0
0,9,13,0
0,9,14,0
0,9,15,0
0,10,11,0
0,10,12,0
0,10,13,0
0,10,14,0
0,10,15,0
0,11,12,0
0,11,13,0
0,11,14,0
0,11,15,0
0,12,13,0
0,12,14,0
0,12,15,0
0,13,14,0
0,13,15,0
0,14,15,0
0,1,3,2,0
0,1,4,2,0
0,1,5,2,0
0,1,6,2,0
0,1,7,2,0
0,1,8,2,0
0,1,9,2,0
0,2,1,10,0
0,1,11,2,0
0,1,12,2,0
0,1,2,13,0
0,1,2,14,0
0,1,2,15,0
0,1,3,4,0
0,3,1,5,0
0,3,1,6,0
0,3,1,7,0
0,3,1,8,0
0,1,9,3,0
0,3,1,10,0
0,3,1,11,0
0,1,3,12,0
0,1,3,13,0
0,1,3,14,0
0,1,3,15,0
0,1,4,5,0
0,1,4,6,0
0,4,1,7,0
0,4,1,8,0
0,1,9,4,0
0,4,1,10,0
0,4,1,11,0
0,1,12,4,0
0,1,4,13,0
0,1,4,14,0
0,1,4,15,0
0,1,5,6,0
0,1,7,5,0
0,1,8,5,0
0,5,1,9,0
0,1,10,5,0
0,1,11,5,0
0,5,1,12,0
0,1,5,13,0
0,1,5,14,0
0,1,5,15,0
0,1,7,6,0
0,1,8,6,0
0,6,1,9,0
0,1,10,6,0
0,1,11,6,0
0,6,1,12,0
0,1,6,13,0
0,1,6,14,0
0,1,6,15,0
0,1,7,8,0
0,1,9,7,0
0,1,10,7,0
0,1,11,7,0
0,7,1,12,0
0,1,7,13,0
0,1,7,14,0
0,1,7,15,0
0,1,9,8,0
0,1,10,8,0
0,1,11,8,0
0,8,1,12,0
0,1,8,13,0
0,1,8,14,0
0,1,8,15,0
0,1,9,10,0
0,1,9,11,0
0,1,9,12,0
0,1,9,13,0
0,9,1,14,0
0,1,9,15,0
0,1,10,11,0
0,10,1,12,0
0,1,10,13,0
0,1,10,14,0
0,1,10,15,0
0,11,1,12,0
0,1,11,13,0
0,1,11,14,0
0,1,11,15,0
0,1,12,13,0
0,1,12,14,0
0,1,12,15,0
0,1,14,13,0
0,1,15,13,0
0,1,14,15,0
0,2,4,3,0
0,3,2,5,0
0,3,2,6,0
0,2,3,7,0
0,3,2,8,0
0,2,3,9,0
0,2,3,10,0
0,2,3,11,0
0,2,12,3,0
0,3,2,13,0
0,3,2,14,0
0,3,2,15,0
0,4,2,5,0
0,4,2,6,0
0,4,2,7,0
0,4,2,8,0
0,2,4,9,0
0,2,4,10,0
0,2,4,11,0
0,2,4,12,0
0,4,2,13,0
0,4,2,14,0
0,2,15,4,0
0,2,5,6,0
0,2,5,7,0
0,2,5,8,0
0,2,5,9,0
0,2,5,10,0
0,2,5,11,0
0,5,2,12,0
0,2,13,5,0
0,2,14,5,0
0,2,15,5,0
0,2,6,7,0
0,2,6,8,0
0,6,2,9,0
0,2,6,10,0
0,2,6,11,0
0,6,2,12,0
0,2,13,6,0
0,2,14,6,0
0,2,15,6,0
0,2,8,7,0
0,2,7,9,0
0,2,7,10,0
0,2,7,11,0
0,7,2,12,0
0,2,13,7,0
0,2,14,7,0
0,2,15,7,0
0,2,8,9,0
0,2,8,10,0
0,2,8,11,0
0,8,2,12,0
0,2,13,8,0
0,2,14,8,0
0,2,15,8,0
0,2,9,10,0
0,2,9,11,0
0,2,12,9,0
0,9,2,13,0
0,9,2,14,0
0,9,2,15,0
0,2,11,10,0
0,2,12,10,0
0,2,13,10,0
0,2,14,10,0
0,2,15,10,0
0,2,12,11,0
0,2,13,11,0
0,2,14,11,0
0,2,15,11,0
0,12,2,13,0
0,12,2,14,0
0,12,2,15,0
0,2,14,13,0
0,2,15,13,0
0,2,15,14,0
0,3,4,5,0
0,3,4,6,0
0,4,3,7,0
0,4,3,8,0
0,4,3,9,0
0,4,3,10,0
0,4,3,11,0
0,3,12,4,0
0,3,4,13,0
0,3,4,14,0
0,3,4,15,0
0,3,5,6,0
0,3,7,5,0
0,3,8,5,0
0,3,9,5,0
0,3,10,5,0
0,3,11,5,0
0,3,12,5,0
0,3,14,5,0
0,3,15,5,0
0,3,7,6,0
0,3,8,6,0
0,3,9,6,0
0,3,10,6,0
0,3,11,6,0
0,3,12,6,0
0,3,13,6,0
0,3,14,6,0
0,3,15,6,0
0,3,7,8,0
0,3,9,7,0
0,3,10,7,0
0,3,11,7,0
0,7,3,12,0
0,3,7,13,0
0,3,7,14,0
0,7,3,15,0
0,3,9,8,0
0,3,10,8,0
0,3,11,8,0
0,8,3,12,0
0,3,8,13,0
0,3,8,14,0
0,3,15,8,0
0,3,9,10,0
0,3,9,11,0
0,9,3,12,0
0,9,3,13,0
0,9,3,14,0
0,9,3,15,0
0,3,10,11,0
0,10,3,12,0
0,3,10,13,0
0,3,10,14,0
0,10,3,15,0
0,11,3,12,0
0,3,11,13,0
0,3,11,14,0
0,11,3,15,0
0,3,12,13,0
0,3,12,14,0
0,3,12,15,0
0,3,13,14,0
0,3,15,13,0
0,3,15,14,0
0,4,6,5,0
0,4,5,7,0
0,4,5,8,0
0,4,5,11,0
0,4,15,5,0
0,4,6,7,0
0,4,6,8,0
0,6,4,9,0
0,4,6,10,0
0,4,6,11,0
0,6,4,12,0
0,4,13,6,0
0,4,14,6,0
0,4,15,6,0
0,4,8,7,0
0,4,9,7,0
0,4,10,7,0
0,4,11,7,0
0,4,12,7,0
0,4,13,7,0
0,4,14,7,0
0,4,15,7,0
0,4,9,8,0
0,4,10,8,0
0,4,11,8,0
0,8,4,12,0
0,4,13,8,0
0,4,14,8,0
0,4,15,8,0
0,4,9,10,0
0,4,9,11,0
0,4,12,9,0
0,9,4,13,0
0,9,4,14,0
0,9,4,15,0
0,4,10,11,0
0,4,12,10,0
0,10,4,13,0
0,4,14,10,0
0,10,4,15,0
0,4,12,11,0
0,4,13,11,0
0,4,14,11,0
0,4,15,11,0
0,12,4,14,0
0,12,4,15,0
0,4,15,13,0
0,4,15,14,0
0,6,5,7,0
0,6,5,8,0
0,6,5,9,0
0,6,5,10,0
0,6,5,11,0
0,5,6,12,0
0,6,5,13,0
0,6,5,14,0
0,6,5,15,0
0,5,8,7,0
0,5,7,9,0
0,5,7,10,0
0,5,7,11,0
0,5,7,12,0
0,7,5,13,0
0,7,5,14,0
0,7,5,15,0
0,5,8,9,0
0,5,8,10,0
0,5,8,11,0
0,5,8,12,0
0,8,5,13,0
0,8,5,14,0
0,8,5,15,0
0,5,10,9,0
0,5,11,9,0
0,9,5,15,0
0,5,11,10,0
0,10,5,15,0
0,5,11,12,0
0,11,5,14,0
0,11,5,15,0
0,5,15,12,0
0,5,15,13,0
0,5,14,15,0
0,6,8,7,0
0,6,7,9,0
0,6,7,10,0
0,6,7,11,0
0,6,7,12,0
0,7,6,13,0
0,6,14,7,0
0,7,6,15,0
0,6,8,9,0
0,6,8,10,0
0,6,8,11,0
0,8,6,12,0
0,8,6,13,0
0,6,14,8,0
0,8,6,15,0
0,6,10,9,0
0,6,11,9,0
0,6,9,12,0
0,9,6,13,0
0,9,6,14,0
0,6,15,9,0
0,6,11,10,0
0,6,10,12,0
0,10,6,13,0
0,10,6,14,0
0,10,6,15,0
0,6,11,12,0
0,11,6,13,0
0,6,14,11,0
0,11,6,15,0
0,6,13,12,0
0,6,14,12,0
0,6,15,12,0
